x,y,model,repetition,subsample,train_dataset,eval_dataset
3.5,0.2877798153191766,qsofa ,3,6,aumc,aumc
3.5,0.2731306081754735,qsofa ,3,7,aumc,aumc
3.5,0.2711470240441466,qsofa ,3,8,aumc,aumc
3.5,0.26594329583460014,qsofa ,3,9,aumc,aumc
3.5,0.28301538006506943,qsofa ,4,0,aumc,aumc
3.5,0.2671366367508366,qsofa ,4,1,aumc,aumc
3.5,0.2760388286815604,qsofa ,4,2,aumc,aumc
3.5,0.2850235849056604,qsofa ,4,3,aumc,aumc
3.5,0.2713211197536226,qsofa ,4,4,aumc,aumc
3.5,0.271671090685789,qsofa ,4,5,aumc,aumc
3.5,0.2877798153191766,qsofa ,4,6,aumc,aumc
3.5,0.2731306081754735,qsofa ,4,7,aumc,aumc
3.5,0.2711470240441466,qsofa ,4,8,aumc,aumc
3.5,0.26594329583460014,qsofa ,4,9,aumc,aumc
5.75,0.2709443829830031,sirs  ,0,0,aumc,aumc
5.75,0.2568397543271915,sirs  ,0,1,aumc,aumc
5.75,0.2629639853902998,sirs  ,0,2,aumc,aumc
5.75,0.2702585632413701,sirs  ,0,3,aumc,aumc
5.75,0.25304395951929154,sirs  ,0,4,aumc,aumc
5.75,0.2592952160621333,sirs  ,0,5,aumc,aumc
5.75,0.2641031373425739,sirs  ,0,6,aumc,aumc
5.75,0.26092305126093346,sirs  ,0,7,aumc,aumc
5.75,0.26195897371028604,sirs  ,0,8,aumc,aumc
5.75,0.2553755375537553,sirs  ,0,9,aumc,aumc
5.75,0.2709443829830031,sirs  ,1,0,aumc,aumc
5.75,0.2568397543271915,sirs  ,1,1,aumc,aumc
5.75,0.2629639853902998,sirs  ,1,2,aumc,aumc
5.75,0.2702585632413701,sirs  ,1,3,aumc,aumc
5.75,0.25304395951929154,sirs  ,1,4,aumc,aumc
5.75,0.2592952160621333,sirs  ,1,5,aumc,aumc
5.75,0.2641031373425739,sirs  ,1,6,aumc,aumc
5.75,0.26092305126093346,sirs  ,1,7,aumc,aumc
5.75,0.26195897371028604,sirs  ,1,8,aumc,aumc
5.75,0.2553755375537553,sirs  ,1,9,aumc,aumc
5.75,0.2709443829830031,sirs  ,2,0,aumc,aumc
5.75,0.2568397543271915,sirs  ,2,1,aumc,aumc
5.75,0.2629639853902998,sirs  ,2,2,aumc,aumc
5.75,0.2702585632413701,sirs  ,2,3,aumc,aumc
5.75,0.25304395951929154,sirs  ,2,4,aumc,aumc
5.75,0.2592952160621333,sirs  ,2,5,aumc,aumc
5.75,0.2641031373425739,sirs  ,2,6,aumc,aumc
5.75,0.26092305126093346,sirs  ,2,7,aumc,aumc
5.75,0.26195897371028604,sirs  ,2,8,aumc,aumc
5.75,0.2553755375537553,sirs  ,2,9,aumc,aumc
5.75,0.2709443829830031,sirs  ,3,0,aumc,aumc
5.75,0.2568397543271915,sirs  ,3,1,aumc,aumc
5.75,0.2629639853902998,sirs  ,3,2,aumc,aumc
5.75,0.2702585632413701,sirs  ,3,3,aumc,aumc
5.75,0.25304395951929154,sirs  ,3,4,aumc,aumc
5.75,0.2592952160621333,sirs  ,3,5,aumc,aumc
5.75,0.2641031373425739,sirs  ,3,6,aumc,aumc
5.75,0.26092305126093346,sirs  ,3,7,aumc,aumc
5.75,0.26195897371028604,sirs  ,3,8,aumc,aumc
5.75,0.2553755375537553,sirs  ,3,9,aumc,aumc
5.75,0.2709443829830031,sirs  ,4,0,aumc,aumc
5.75,0.2568397543271915,sirs  ,4,1,aumc,aumc
5.75,0.2629639853902998,sirs  ,4,2,aumc,aumc
5.75,0.2702585632413701,sirs  ,4,3,aumc,aumc
5.75,0.25304395951929154,sirs  ,4,4,aumc,aumc
5.75,0.2592952160621333,sirs  ,4,5,aumc,aumc
5.75,0.2641031373425739,sirs  ,4,6,aumc,aumc
5.75,0.26092305126093346,sirs  ,4,7,aumc,aumc
5.75,0.26195897371028604,sirs  ,4,8,aumc,aumc
5.75,0.2553755375537553,sirs  ,4,9,aumc,aumc
0.0,0.22079729962795963,sofa  ,0,0,aumc,aumc
0.0,0.228820417878868,sofa  ,0,1,aumc,aumc
0.0,0.2245914341350026,sofa  ,0,2,aumc,aumc
