,AUC,rep,subsample,model,train_dataset,eval_dataset
0,0.6994706986780208,3,9,AttentionModel,aumc,eicu
0,0.6885636207299819,0,0,AttentionModel,aumc,eicu
0,0.6931261168627789,0,1,AttentionModel,aumc,eicu
0,0.686445919280203,0,2,AttentionModel,aumc,eicu
0,0.6974942214287005,0,3,AttentionModel,aumc,eicu
0,0.699217105434577,0,4,AttentionModel,aumc,eicu
0,0.694129526368596,0,5,AttentionModel,aumc,eicu
0,0.690825717111968,0,6,AttentionModel,aumc,eicu
0,0.6951855085571366,0,7,AttentionModel,aumc,eicu
0,0.6947256433534255,0,8,AttentionModel,aumc,eicu
0,0.7001332784387202,0,9,AttentionModel,aumc,eicu
0,0.7135941920977008,1,0,AttentionModel,aumc,eicu
0,0.722945927701604,1,1,AttentionModel,aumc,eicu
0,0.7135589786849146,1,2,AttentionModel,aumc,eicu
0,0.725592856276767,1,3,AttentionModel,aumc,eicu
0,0.7228514015202807,1,4,AttentionModel,aumc,eicu
0,0.7199634198687983,1,5,AttentionModel,aumc,eicu
0,0.7188916652014778,1,6,AttentionModel,aumc,eicu
0,0.7219181498219914,1,7,AttentionModel,aumc,eicu
0,0.7213910482016296,1,8,AttentionModel,aumc,eicu
0,0.7261354854241271,1,9,AttentionModel,aumc,eicu
0,0.6860169568715978,4,0,AttentionModel,aumc,eicu
0,0.6956456276614376,4,1,AttentionModel,aumc,eicu
0,0.6864559728844664,4,2,AttentionModel,aumc,eicu
0,0.6949200806268689,4,3,AttentionModel,aumc,eicu
0,0.6986708830276807,4,4,AttentionModel,aumc,eicu
0,0.6965000397556564,4,5,AttentionModel,aumc,eicu
0,0.6937285849254835,4,6,AttentionModel,aumc,eicu
0,0.6955530779374379,4,7,AttentionModel,aumc,eicu
0,0.6958221845317083,4,8,AttentionModel,aumc,eicu
0,0.7019762892046693,4,9,AttentionModel,aumc,eicu
0,0.6857496361679704,2,0,AttentionModel,aumc,eicu
0,0.6928408282458729,2,1,AttentionModel,aumc,eicu
0,0.6834208689143736,2,2,AttentionModel,aumc,eicu
0,0.6955049991048845,2,3,AttentionModel,aumc,eicu
0,0.696415607963688,2,4,AttentionModel,aumc,eicu
0,0.6931632144267952,2,5,AttentionModel,aumc,eicu
0,0.6886365432242326,2,6,AttentionModel,aumc,eicu
0,0.6953297893879152,2,7,AttentionModel,aumc,eicu
0,0.6945753353955519,2,8,AttentionModel,aumc,eicu
0,0.6966077252065779,2,9,AttentionModel,aumc,eicu
0,0.6792052255172395,0,0,GRUModel,aumc,eicu
0,0.6849261239644169,0,1,GRUModel,aumc,eicu
0,0.6827997146574548,0,2,GRUModel,aumc,eicu
0,0.6846642599067684,0,3,GRUModel,aumc,eicu
0,0.6869590862841218,0,4,GRUModel,aumc,eicu
